Référence Interne,Nom du produit, Prix vente conseillé €HT, Prix vente conseillé €HT, Prix vente €TTC, Prix achat revendeur €HT, Prix achat revendeur €TTC, Eco contribution
AXC-200-G/G, Aximus II (Galva - Brut Extérieure),"  1 505,00 € ","  1 580,25 € ","  1 896,30 € ","  1 204,00 € ","  1 444,80 € ","  75,25 € "
AXC-200-N/N, Aximus II (Noire - Noire Grain Moyen),"  1 450,00 € ","  1 522,50 € ","  1 827,00 € ","  1 160,00 € ","  1 392,00 € ","  72,50 € "
AXC-200-N/S, Aximus II (Noire - SPEAL),"  1 450,00 € ","  1 522,50 € ","  1 827,00 € ","  1 160,00 € ","  1 392,00 € ","  72,50 € "
AXC-250-G/G, Aximus II.V (Galva - Brut Extérieure),"  1 770,00 € ","  1 858,50 € ","  2 230,20 € ","  1 416,00 € ","  1 699,20 € ","  88,50 € "
AXC-250-N/N, Aximus II.V (Noire - Noire Grain Moyen),"  1 700,00 € ","  1 785,00 € ","  2 142,00 € ","  1 360,00 € ","  1 632,00 € ","  85,00 € "
AXC-250-N/S, Aximus II.V (Noire - SPEAL),"  1 700,00 € ","  1 785,00 € ","  2 142,00 € ","  1 360,00 € ","  1 632,00 € ","  85,00 € "
AXC-300-G/G, Aximus III (Galva - Brut Extérieure),"  2 260,00 € ","  2 373,00 € ","  2 847,60 € ","  1 808,00 € ","  2 169,60 € ","  113,00 € "
AXC-300-N/N, Aximus III (Noire - Noire Grain Moyen),"  2 175,00 € ","  2 283,75 € ","  2 740,50 € ","  1 740,00 € ","  2 088,00 € ","  108,75 € "
AXC-300-N/S, Aximus III (Noire - SPEAL),"  2 175,00 € ","  2 283,75 € ","  2 740,50 € ","  1 740,00 € ","  2 088,00 € ","  108,75 € "
AXC-350-G/G, Aximus III.V (Galva - Brut Extérieure),"  2 545,00 € ","  2 672,25 € ","  3 206,70 € ","  2 036,00 € ","  2 443,20 € ","  127,25 € "
AXC-350-N/N, Aximus III.V (Noire - Noire Grain Moyen),"  2 445,00 € ","  2 567,25 € ","  3 080,70 € ","  1 956,00 € ","  2 347,20 € ","  122,25 € "
AXC-350-N/S, Aximus III.V (Noire - SPEAL),"  2 445,00 € ","  2 567,25 € ","  3 080,70 € ","  1 956,00 € ","  2 347,20 € ","  122,25 € "
AXC-400-G/G, Aximus IV (Galva - Brut Extérieure),"  3 030,00 € ","  3 181,50 € ","  3 817,80 € ","  2 424,00 € ","  2 908,80 € ","  151,50 € "
AXC-400-N/N, Aximus IV (Noire - Noire Grain Moyen),"  2 915,00 € ","  3 060,75 € ","  3 672,90 € ","  2 332,00 € ","  2 798,40 € ","  145,75 € "
AXC-400-N/S, Aximus IV (Noire - SPEAL),"  2 915,00 € ","  3 060,75 € ","  3 672,90 € ","  2 332,00 € ","  2 798,40 € ","  145,75 € "
AXC-450-G/G, Aximus IV.V (Galva - Brut Extérieure),"  3 305,00 € ","  3 470,25 € ","  4 164,30 € ","  2 644,00 € ","  3 172,80 € ","  165,25 € "
AXC-450-N/N, Aximus IV.V (Noire - Noire Grain Moyen),"  3 175,00 € ","  3 333,75 € ","  4 000,50 € ","  2 540,00 € ","  3 048,00 € ","  158,75 € "
AXC-450-N/S, Aximus IV.V (Noire - SPEAL),"  3 175,00 € ","  3 333,75 € ","  4 000,50 € ","  2 540,00 € ","  3 048,00 € ","  158,75 € "
AXC-500-G/G, Aximus V (Galva - Brut Extérieure),"  3 795,00 € ","  3 984,75 € ","  4 781,70 € ","  3 036,00 € ","  3 643,20 € ","  189,75 € "
AXC-500-N/N, Aximus V (Noire - Noire Grain Moyen),"  3 650,00 € ","  3 832,50 € ","  4 599,00 € ","  2 920,00 € ","  3 504,00 € ","  182,50 € "
AXC-500-N/S, Aximus V (Noire - SPEAL),"  3 650,00 € ","  3 832,50 € ","  4 599,00 € ","  2 920,00 € ","  3 504,00 € ","  182,50 € "
BAC-005, Haltère chargeable - Mini Barre 5 KG,"  57,50 € ","  60,38 € ","  72,45 € ","  40,25 € ","  48,30 € ","  2,88 € "
BAC-015, Barre Olympique 15kg - Compétition,"  300,00 € ","  315,00 € ","  378,00 € ","  270,00 € ","  324,00 € ","  15,00 € "
BAC-020, Barre Olympique 20kg - Compétition,"  320,83 € ","  336,87 € ","  404,25 € ","  288,75 € ","  346,50 € ","  16,04 € "
BAE-002, Marche du Fermier - Farmer Walk,"  185,00 € ","  194,25 € ","  233,10 € ","  148,00 € ","  177,60 € ","  9,25 € "
BAE-003, Fat Barre Team - Axle Bar - StrongMan,"  215,00 € ","  225,75 € ","  270,90 € ","  172,00 € ","  206,40 € ","  10,75 € "
BAE-004, Fat Barre - Axle Bar - StrongMan,"  120,00 € ","  126,00 € ","  151,20 € ","  90,00 € ","  108,00 € ","  6,00 € "
BAH-003, Barre hexagonale - Trap Bar Deadlift,"  183,33 € ","  192,50 € ","  231,00 € ","  128,33 € ","  154,00 € ","  9,17 € "
BAH-100, Barre hexagonale Ouverte - Open trap bar,"  249,00 € ","  261,45 € ","  313,74 € ","  224,10 € ","  268,92 € ","  12,45 € "
BAI-002, Barre Olympique 2.5kg 2.0 - Kids & Initiation,"  91,67 € ","  96,25 € ","  115,50 € ","  64,17 € ","  77,00 € ","  4,58 € "
BAI-005, Barre Olympique 5kg - Kids & Initiation,"  132,50 € ","  139,13 € ","  166,95 € ","  92,75 € ","  111,30 € ","  6,63 € "
BAL-001, Ballon Pédagogique - Ballon Paille Pilates,"  2,50 € ","  2,63 € ","  3,15 € ","  1,50 € ","  1,80 € ","  0,13 € "
BAM-001, Balle de Massage (D60),"  5,00 € ","  5,25 € ","  6,30 € ","  3,00 € ","  3,60 € ","  0,25 € "
BAM-020, Barre Olympique 20kg - Musculation,"  132,50 € ","  139,13 € ","  166,95 € ","  92,75 € ","  111,30 € ","  6,63 € "
BAM-120, Balle de Massage (D120),"  7,50 € ","  7,88 € ","  9,45 € ","  4,50 € ","  5,40 € ","  0,38 € "
BAN-200, Banc - Home,"  91,67 € ","  96,25 € ","  115,50 € ","  55,00 € ","  66,00 € ","  4,58 € "
